sizeLoansUSD,sizeCollateralUSD,sizeReimbursementsUSD,numLoansUser,numReimbursementsUser,ratioCollateralToLoans,averageOfDailyCollateralToDebt,numTransactionsUser,MostFrequentTransactionTimeOfDay
-0.22204253959078246,-0.21553779058789002,-0.1883334406480902,1.4305114987860805,19.0,0.019320327075497145,0.2791604507615642,3.774616934420364,3
-0.2356824516934401,-0.23109007212607569,-0.20355113639539724,0.3011603155339117,3.0,-0.4792577920633055,-0.2584149533472421,0.44648054028831047,3
-0.1734309492092301,-0.1847936895947123,-0.13381051981244324,-0.3011603155339117,1.0,-0.4739622023792262,-0.2900352314825553,-0.3493781626563111,2
0.6267131806326817,0.3748144453508795,0.7365119740135789,-0.07529007888347793,15.0,-0.5357645103687603,-0.32645156610399423,0.4103051446999186,1
0.3480463443168317,0.29278187781588216,0.11729352497423386,-0.22587023665043376,2.0,-0.24213457368927396,-0.18053749042103592,-0.38555355824470305,1
-0.22541582769119206,-0.21770462835368373,-0.19018551167040929,-0.07529007888347793,3.0,0.1845250166791231,0.4191565040647215,0.012375793227607783,1
-0.22667216852098884,-0.2212804189486055,-0.20410617684711047,-0.15058015776695585,2.0,-0.08104188643996366,-0.06666794105334521,-0.27702737147952733,3
-0.23832243530987735,-0.2330648673328958,-0.20418659768806363,-0.3011603155339117,1.0,-0.5882150263479925,-0.7710637949575936,-0.3493781626563111,2
-0.23855709997111157,-0.2332092647291955,-0.20444092324315472,-0.3011603155339117,1.0,-0.26892384480879356,-0.18930960473422806,-0.3493781626563111,0
-0.21485587675197104,-0.20622307697867945,-0.20068824823891082,-0.22587023665043376,1.0,0.12314123401995544,0.10387688653740722,-0.3493781626563111,3
-0.23714911108851325,-0.2314971579513774,-0.20290495673065392,-0.3011603155339117,1.0,0.22086986664181363,0.07993085308291734,-0.38555355824470305,3
0.11338259827548286,0.022152503153300203,0.1787425319921885,-0.15058015776695585,4.0,-0.5010978550456693,-0.2820292969297439,0.15707737558117535,2
0.14578134911955373,-0.07907661333324699,0.21247057370754677,0.6023206310678234,11.0,-0.9923507040142762,1.3087375567706878,0.7358837049954456,2
-0.23852776677405818,-0.23323127354950074,-0.2044410960740008,-0.15058015776695585,2.0,-1.0910921931396917,0.5584261046194531,-0.24085197589113547,3
-0.20928266083111585,-0.21111693599163767,-0.17267681360419151,-0.3011603155339117,1.0,-0.4567387312371491,-0.21495046797558595,-0.45790434942148683,0
-0.23855709997111157,-0.23319915215532672,-0.20444089906285065,-0.22587023665043376,1.0,-0.007972889376698052,0.03958661132778336,-0.1685011847143517,2
-0.23846323374054074,-0.23316088953251382,-0.204339295146821,-0.3011603155339117,1.0,-0.6076672771695384,-0.7710637949575936,-0.38555355824470305,0
